zone,profile_shift_requested_hours,joint_lcoh_eur_per_kg,baseline_lcoh_eur_per_kg,joint_saving_pct,wind_delta_mw,solar_delta_mw,joint_delta_battery_power_mw,joint_delta_battery_energy_mwh,electrolyser_delta_mw,joint_delta_hydrogen_storage_kg,renewable_price_overlap_ratio,renewable_profile_in_trigger_share,exact_trigger_hour_share,hours,certified_grid_mwh,low_price_trigger_hours,lcoh_delta_eur_per_kg
SK,0,4.657379183,5.278637138,11.769287,0,-58.84972564,0,0,-20.56525708,-111.3874046,0.9215309817,0.04587139034,0.04977737185,8759,74547.08693,436,-0.621257955
BE,0,4.049433592,4.191559907,3.390773802,-13.05527317,-0.6956825209,0,0,3.768689339,68.63911602,1.602974287,0.09315149129,0.05811165658,8759,23087.11829,509,-0.142126315
AT,0,3.559368981,3.656912686,2.667378564,0.197843229,-16.71109323,0,0,2.895969378,55.09405871,1.274093671,0.05527521347,0.04338394794,8759,21165.4714,380,-0.097543705
SI,0,4.138402352,4.242961072,2.464286576,-9.795600516,-1.027826916,0,0,0.7253828968,8.824491817,0.8412490993,0.02235621891,0.02657502864,8730,16364.26116,232,-0.10455872
LT,0,3.332697804,3.41565648,2.428776907,-8.057019934,0,0,0,-0.5492319347,-12.22694177,0.866410906,0.02848990949,0.03288267644,8728,15603.98905,287,-0.082958676
FR,0,3.330824842,3.408026613,2.265292483,-9.996011286,-0.2304560879,0,0,2.00361299,33.96275257,1.334939932,0.09375220488,0.07022953066,8757,17843.5367,615,-0.077201771
DE_LU,0,3.578101616,3.645450911,1.847488735,-4.584633027,-1.844735397,0,0,2.945714938,55.11965905,1.772576085,0.1335655002,0.07535106747,8759,23835.40245,660,-0.067349295
CZ,0,3.53280714,3.597792371,1.806252951,-1.837673447,-9.595133664,0,0,2.773185644,52.88631232,1.39708793,0.07119021283,0.05095614336,8733,16125.50303,445,-0.064985231
HR,0,3.379121312,3.431373752,1.522784857,-2.100639406,-4.270098607,0,0,-0.04141467831,-0.8082053913,1.109303257,0.03013647619,0.0271670312,8687,11741.33176,236,-0.05225244
DK1_country_profile,0,3.530027778,3.569058461,1.093584843,-4.417600324,0,0,0,1.828591457,36.21506533,1.737572395,0.1023618399,0.05891083457,8759,17885.47573,516,-0.039030683
PT,0,3.102219095,3.116609722,0.4617397803,-2.124605393,0.5965849565,0,0,0.3008647046,11.53022181,1.250631529,0.02441301272,0.01952054795,8760,2918.666492,171,-0.014390627
ES,0,2.868528177,2.881664951,0.4558744396,-2.6895245,1.353719717,0,0,0.4841291115,9.353609298,1.096195688,0.0221643405,0.02021932831,8754,2938.041326,177,-0.013136774
BG,0,3.858597893,3.874984366,0.4228784214,-2.143545872,0.2559359813,0,0,0.3173532318,7.485412811,1.315473805,0.01186735532,0.009021354345,8757,2724.732678,79,-0.016386473
NL,0,4.18650162,4.201415981,0.3549841378,-1.462383338,-0.3699861232,0,0,0.1714241311,2.531204848,1.560730189,0.02049137706,0.01312935267,8759,2548.541865,115,-0.014914361
RO,0,3.713740523,3.724941632,0.3007056344,-1.436302275,0.3194171441,0,0,0.1536433423,1.998846351,1.555876427,0.01190404483,0.00765102204,8757,1796.308919,67,-0.011201109
IT_North_country_profile,0,3.164653997,3.171375302,0.2119366135,-0.8679149442,0.1271800929,0,0,0.04496690552,0.8818483861,1.182120031,0.01012204616,0.008562621304,8759,1448.935298,75,-0.006721305
GR,0,3.062783979,3.067379562,0.1498211458,0.2870085806,-1.371062541,0,0,0.2874731027,5.584381773,1.505009013,0.008439624816,0.005607690547,8738,900.6307594,49,-0.004595583
EE,0,1.887382744,1.887382744,7.176456891e-13,0,-7.958078641e-13,0,0,-2.842170943e-13,1.682565198e-11,0.9376095087,0.03160722261,0.03371043309,8751,1.779777971e-12,295,0
