source_record_id,zone,data_year,profile_variant,article6_price_proxy,eua_only_proxy,negative_only_proxy,no_trigger,price20_only_proxy,joint_saving_pct,joint_delta_wind_mw,joint_delta_solar_mw,joint_delta_battery_power_mw,joint_delta_battery_energy_mwh,joint_delta_electrolyser_mw,joint_delta_hydrogen_storage_kg
BE_2021_dayahead_forecast,BE,2021,dayahead_forecast,3.576005059,3.578510071,3.609376018,3.659290845,3.576334591,2.276008907,-4.794744103,0,0,0,0.003197700299,-1.215930041
BE_2021_observed_generation,BE,2021,observed_generation,4.179213826,4.185309074,4.247086114,4.319821251,4.179865654,3.25493619,-10.58456414,0,0,0,1.376047934,23.93500892
BE_2022_dayahead_forecast,BE,2022,dayahead_forecast,3.744226912,3.744226912,3.756656027,3.819166484,3.746219536,1.962197031,-3.733505232,0,0,0,0.2671313137,5.289333578
BE_2022_observed_generation,BE,2022,observed_generation,4.305024077,4.305024077,4.326926473,4.39721521,4.308581557,2.096579982,30.62059065,-71.16110254,0,0,18.3201085,362.7473083
BE_2023_dayahead_forecast,BE,2023,dayahead_forecast,3.242031038,3.242031038,3.312394415,3.364043166,3.262412578,3.62694895,-10.89143198,0,0,0,0.5500651491,10.89156498
BE_2023_observed_generation,BE,2023,observed_generation,3.480114537,3.480114537,3.577116636,3.64544153,3.508246499,4.535170597,-15.17453318,0,0,0,0.9562009656,18.93325722
BE_2024_dayahead_forecast,BE,2024,dayahead_forecast,3.57228144,3.572646144,3.819240919,4.097348364,3.59458536,12.8147982,-43.41840022,0,0,0,1.870877597,37.04431186
BE_2024_observed_generation,BE,2024,observed_generation,3.577999889,3.578486386,3.847499786,4.157452487,3.601873189,13.93768418,-46.77663082,0,0,0,0.1993273434,3.946781063
BE_2025_dayahead_forecast,BE,2025,dayahead_forecast,3.727742189,3.727742189,4.008957111,4.434905952,3.760563883,15.94540607,-63.98688753,0,0,0,9.201495102,159.4084618
BE_2025_observed_generation,BE,2025,observed_generation,3.658813898,3.658813898,3.938704811,4.389450983,3.689061861,16.64529546,-60.7560635,0,0,0,3.122018122,42.79452509
DE_LU_2019_observed_generation,DE-LU,2019,observed_generation,4.28572792,4.331810906,4.356050767,4.411784686,4.28572792,2.857273767,-13.31310011,0,0,0,6.008165174,109.3744116
DE_LU_2020_observed_generation,DE-LU,2020,observed_generation,3.517807327,4.173121282,4.248352371,4.331340792,3.517807327,18.78248569,-135.447313,0,0,0,57.00842895,1096.969283
DE_LU_2021_observed_generation,DE-LU,2021,observed_generation,4.830077772,4.836127609,4.873569593,4.920275534,4.831033077,1.833185181,-9.401352635,0,0,0,4.281954546,84.784841
DE_LU_2022_observed_generation,DE-LU,2022,observed_generation,4.748281481,4.748281481,4.780556325,4.791510212,4.755096677,0.9021942755,-6.546144289,0,0,0,3.079603937,60.97769775
