zone,draws_including_base,base_joint_saving_pct,saving_min_pct,saving_max_pct,saving_range_pp,zero_response_draws,positive_response_draws,wind_mw_delta_min,wind_mw_delta_max,solar_mw_delta_min,solar_mw_delta_max,battery_power_mw_delta_min,battery_power_mw_delta_max,battery_energy_mwh_delta_min,battery_energy_mwh_delta_max,electrolyser_mw_delta_min,electrolyser_mw_delta_max,hydrogen_storage_kg_delta_min,hydrogen_storage_kg_delta_max
AT,13,2.667378564,2.486419407,2.783677958,0.2972585502,0,13,-0.6185962271,0.2803432161,-18.51578,-15.38019246,0,0,0,0,2.464083379,3.269685379,42.65808456,58.18108377
BE,13,3.390773802,3.197257315,3.643159466,0.4459021514,0,13,-14.66817591,-12.00014906,-1.232124961,-0.505483972,0,0,0,0,3.155684197,4.293653888,54.90328096,73.30000235
BG,13,0.4228784214,0.3910333354,0.4378876955,0.04685436008,0,13,-2.335842727,-1.931621803,-0.02283360437,0.2638362819,0,0,0,0,0.1158589799,0.380091544,3.573275227,8.065620692
CZ,13,1.806252951,1.663797614,1.897533871,0.2337362577,0,13,-2.082969573,-1.656361878,-10.69044824,-8.840450885,0,0,0,0,2.56842351,3.161306452,46.78339245,56.02018655
DE_LU,13,1.847488735,1.587006099,2.217767554,0.6307614551,0,13,-5.227535723,-4.207829887,-2.155041672,-1.581183812,0,0,-0,-0,2.70361167,3.377940298,51.84554258,60.89371516
DK1_country_profile,13,1.093584843,0.9686826164,1.291022573,0.3223399569,0,13,-4.957619873,-4.086421484,0,0,0,0,0,0,1.711904299,2.094051437,33.33213918,38.64461854
EE,13,7.176456891e-13,-1.147630988e-11,0.0002342359264,0.0002342359379,12,1,0,0,-2.46984655e-11,1.827515916e-11,0,0,0,0,-9.620748642e-12,7.12674364e-12,-3.518425729e-08,5.304627848e-10
ES,13,0.4558744396,0.4181174239,0.4767674093,0.05864998543,0,13,-3.114990285,-2.516108511,1.240713817,1.61144879,0,0,0,0,0.4063096889,0.5994603728,7.124693219,10.73674792
FR,13,2.265292483,2.037499491,2.378113552,0.3406140608,0,13,-11.23712138,-9.221363716,-0.6415640626,-0.09733838043,0,0,0,0,1.720557536,2.317345241,26.36107421,37.31801421
GR,13,0.1498211458,0.139474431,0.1557661955,0.01629176448,0,13,0.2296006868,0.3115210196,-1.492441954,-1.243096184,0,0,0,0,0.2638461805,0.3292138209,4.960944047,6.497171934
HR,13,1.522784857,1.403846187,1.59308684,0.1892406531,0,13,-2.353176398,-1.794491745,-4.942030301,-4.08680489,0,0,0,0,-0.1554734646,0.1734885944,-2.766217381,3.44281959
IT_North_country_profile,13,0.2119366135,0.1910235456,0.2217098536,0.03068630793,0,13,-0.9632793739,-0.7950279914,0.08985877166,0.141154339,0,0,0,0,0.02736614089,0.06652390493,0.4892696759,1.326567497
LT,13,2.428776907,2.238135317,2.52475923,0.2866239137,0,13,-8.987642301,-7.432317948,0,0,0,0,0,0,-0.8883716783,-0.4235014077,-17.23885423,-9.944462664
NL,13,0.3549841378,0.3263461842,0.3681555927,0.04180940854,0,13,-1.625877151,-1.344516785,-0.4506092956,-0.3380177326,0,0,0,0,0.1468709251,0.1919974086,1.861483441,2.770266589
PT,13,0.4617397803,0.4256203954,0.4810391494,0.05541875402,0,13,-2.370766316,-1.960501815,0.5551675676,0.7217598374,0,0,0,0,0.2821790169,0.3963142057,10.77196446,13.22529983
RO,13,0.3007056344,0.2823748872,0.3106020992,0.02822721207,0,13,-1.636342134,-1.353170788,0.3149300758,0.3990298145,0,0,0,0,0.1514850105,0.1832503459,1.998647118,2.177813672
SI,13,2.464286576,2.325849156,2.543354977,0.2175058207,0,13,-11.25957238,-9.300640239,-1.706389502,-0.7303461085,0,0,-2.436117161e-14,4.042123883e-13,0.2894266256,1.038104102,0.7203022382,12.79965457
SK,13,11.769287,11.20441029,12.06241921,0.8580089199,0,13,0,0,-67.91360498,-54.06667912,-1.336203725e-17,0,0,2.726714631e-17,-23.18446258,-18.83137406,-125.190513,-83.89490151
